ID,run,trial,condition,response
sub001,run1,1,happy,2
sub001,run1,2,happy,3
sub001,run1,3,angry,3
sub001,run1,4,angry,1
sub001,run1,5,happy,4
sub001,run1,6,happy,2
sub001,run1,7,happy,5
sub001,run1,8,happy,6
sub001,run1,9,angry,7
sub001,run1,10,happy,2
sub001,run1,11,angry,6
sub001,run1,12,happy,6
sub001,run1,13,angry,7
sub001,run1,14,happy,4
sub001,run1,15,happy,4
sub001,run1,16,happy,5
sub001,run1,17,angry,3
sub001,run1,18,happy,1
sub001,run1,19,angry,7
sub001,run1,20,angry,2
sub001,run1,21,happy,2
sub001,run1,22,happy,6
sub001,run1,23,angry,1
sub001,run1,24,happy,3
sub001,run1,25,angry,7
sub001,run1,26,angry,4
sub001,run1,27,angry,5
sub001,run1,28,happy,4
sub001,run1,29,angry,1
sub001,run1,30,angry,5
sub001,run1,31,happy,6
sub001,run1,32,angry,3
sub001,run1,33,angry,7
sub001,run1,34,happy,2
sub001,run1,35,angry,7
sub001,run1,36,happy,3
sub001,run1,37,angry,2
sub001,run1,38,angry,1
sub001,run1,39,angry,1
sub001,run1,40,happy,6
sub001,run1,41,happy,5
sub001,run1,42,happy,3
sub001,run1,43,angry,5
sub001,run1,44,angry,6
sub001,run1,45,happy,6
sub001,run1,46,angry,4
sub001,run1,47,happy,7
sub001,run1,48,angry,4
sub001,run1,49,angry,1
sub001,run1,50,angry,1
sub001,run1,51,angry,2
sub001,run1,52,happy,3
sub001,run1,53,happy,4
sub001,run1,54,angry,5
sub001,run1,55,angry,6
sub001,run1,56,angry,2
sub001,run1,57,angry,2
sub001,run1,58,angry,2
sub001,run1,59,angry,2
sub001,run1,60,happy,3
sub001,run1,61,angry,4
sub001,run1,62,angry,4
sub001,run1,63,angry,2
sub001,run1,64,happy,4
sub001,run1,65,angry,4
sub001,run1,66,happy,7
sub001,run1,67,happy,3
sub001,run1,68,happy,6
sub001,run1,69,happy,2
sub001,run1,70,happy,4
sub001,run1,71,angry,2
sub001,run1,72,angry,1
sub001,run1,73,happy,7
sub001,run1,74,happy,3
sub001,run1,75,happy,2
sub001,run1,76,angry,6
sub001,run1,77,angry,5
sub001,run1,78,angry,2
sub001,run1,79,happy,4
sub001,run1,80,angry,1
sub001,run1,81,happy,2
sub001,run1,82,angry,4
sub001,run1,83,happy,1
sub001,run1,84,happy,4
sub001,run1,85,happy,2
sub001,run1,86,angry,5
sub001,run1,87,happy,2
sub001,run1,88,angry,5
sub001,run1,89,angry,5
sub001,run1,90,happy,5
sub001,run1,91,angry,3
sub001,run1,92,happy,6
sub001,run1,93,angry,4
sub001,run1,94,angry,6
sub001,run1,95,happy,2
sub001,run1,96,angry,6
sub001,run1,97,angry,6
sub001,run1,98,happy,4
sub001,run1,99,happy,2
sub001,run1,100,happy,5
