ID,run,trial,condition,response
sub001,run2,1,angry,4
sub001,run2,2,angry,7
sub001,run2,3,happy,1
sub001,run2,4,happy,4
sub001,run2,5,happy,4
sub001,run2,6,angry,4
sub001,run2,7,angry,7
sub001,run2,8,angry,2
sub001,run2,9,angry,3
sub001,run2,10,happy,2
sub001,run2,11,angry,6
sub001,run2,12,happy,2
sub001,run2,13,happy,6
sub001,run2,14,happy,5
sub001,run2,15,happy,6
sub001,run2,16,angry,6
sub001,run2,17,angry,6
sub001,run2,18,happy,2
sub001,run2,19,happy,2
sub001,run2,20,angry,7
sub001,run2,21,angry,5
sub001,run2,22,happy,1
sub001,run2,23,happy,2
sub001,run2,24,happy,4
sub001,run2,25,happy,5
sub001,run2,26,happy,2
sub001,run2,27,angry,4
sub001,run2,28,angry,1
sub001,run2,29,happy,7
sub001,run2,30,angry,3
sub001,run2,31,angry,2
sub001,run2,32,happy,5
sub001,run2,33,happy,7
sub001,run2,34,angry,5
sub001,run2,35,angry,6
sub001,run2,36,happy,7
sub001,run2,37,happy,7
sub001,run2,38,angry,5
sub001,run2,39,angry,2
sub001,run2,40,angry,3
sub001,run2,41,happy,7
sub001,run2,42,happy,6
sub001,run2,43,angry,4
sub001,run2,44,happy,7
sub001,run2,45,happy,5
sub001,run2,46,angry,5
sub001,run2,47,happy,1
sub001,run2,48,angry,2
sub001,run2,49,happy,2
sub001,run2,50,happy,6
sub001,run2,51,happy,2
sub001,run2,52,happy,5
sub001,run2,53,angry,4
sub001,run2,54,angry,2
sub001,run2,55,angry,1
sub001,run2,56,angry,3
sub001,run2,57,angry,1
sub001,run2,58,angry,7
sub001,run2,59,happy,3
sub001,run2,60,angry,1
sub001,run2,61,happy,5
sub001,run2,62,angry,2
sub001,run2,63,happy,5
sub001,run2,64,happy,5
sub001,run2,65,happy,6
sub001,run2,66,happy,2
sub001,run2,67,angry,4
sub001,run2,68,happy,1
sub001,run2,69,happy,5
sub001,run2,70,angry,6
sub001,run2,71,happy,6
sub001,run2,72,happy,4
sub001,run2,73,happy,5
sub001,run2,74,happy,2
sub001,run2,75,happy,2
sub001,run2,76,happy,2
sub001,run2,77,angry,5
sub001,run2,78,angry,3
sub001,run2,79,happy,3
sub001,run2,80,angry,1
sub001,run2,81,angry,1
sub001,run2,82,happy,2
sub001,run2,83,happy,2
sub001,run2,84,happy,3
sub001,run2,85,angry,5
sub001,run2,86,angry,4
sub001,run2,87,angry,6
sub001,run2,88,angry,4
sub001,run2,89,happy,7
sub001,run2,90,angry,4
sub001,run2,91,happy,2
sub001,run2,92,angry,4
sub001,run2,93,angry,3
sub001,run2,94,angry,3
sub001,run2,95,happy,4
sub001,run2,96,angry,5
sub001,run2,97,angry,6
sub001,run2,98,happy,1
sub001,run2,99,happy,7
sub001,run2,100,happy,6
